合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
T1809,13:24:23.500,93.65,76,93.845,93.64,1,93.66,2,1210,7.12463e+07
T1809,13:24:30.500,93.65,76,93.845,93.64,1,93.66,4,1210,7.12463e+07
T1809,13:24:31.0,93.65,76,93.845,93.64,1,93.66,4,1210,7.12463e+07
T1809,13:24:38.0,93.65,76,93.845,93.64,1,93.66,2,1210,7.12463e+07
T1809,13:24:42.0,93.65,76,93.845,93.64,1,93.66,2,1210,7.12463e+07
T1809,13:24:42.500,93.65,76,93.845,93.64,1,93.675,1,1210,7.12463e+07
T1809,13:24:43.0,93.65,76,93.845,93.64,1,93.67,4,1210,7.12463e+07
T1809,13:24:43.500,93.65,76,93.845,93.64,1,93.67,3,1210,7.12463e+07
T1809,13:24:44.0,93.65,76,93.845,93.64,1,93.67,6,1210,7.12463e+07
T1809,13:24:44.500,93.65,76,93.845,93.64,1,93.67,5,1210,7.12463e+07
T1809,13:24:46.0,93.65,76,93.845,93.64,1,93.66,2,1210,7.12463e+07
T1809,13:24:46.500,93.65,76,93.845,93.64,1,93.655,2,1210,7.12463e+07
T1809,13:24:47.0,93.65,76,93.845,93.64,1,93.67,1,1210,7.12463e+07
T1809,13:24:47.500,93.65,76,93.845,93.64,1,93.67,3,1210,7.12463e+07
T1809,13:24:48.0,93.65,76,93.845,93.64,1,93.665,4,1210,7.12463e+07
T1809,13:24:48.500,93.65,76,93.845,93.64,1,93.665,4,1210,7.12463e+07
T1809,13:24:49.0,93.65,76,93.845,93.64,1,93.665,4,1210,7.12463e+07
T1809,13:24:51.0,93.65,76,93.845,93.64,1,93.665,2,1210,7.12463e+07
T1809,13:24:52.500,93.65,76,93.845,93.64,1,93.665,4,1210,7.12463e+07
T1809,13:25:01.500,93.65,76,93.845,93.64,1,93.66,1,1210,7.12463e+07
T1809,13:25:02.0,93.65,76,93.845,93.64,1,93.655,2,1210,7.12463e+07
T1809,13:25:02.500,93.65,76,93.845,93.64,1,93.655,2,1210,7.12463e+07
