ºÏÔ¼´úÂë,¸üĞÂÊ±¼ä,×îĞÂ¼Û,³É½»Á¿,Âò¼ÛÒ»,ÂòÁ¿Ò»,Âô¼ÛÒ»,ÂôÁ¿Ò»,³Ö²ÖÁ¿,»»ÊÖÂÊ
au1806,11:30:00.500,275.05,253406,276.8,275,62,275.05,18,316370,6.98209e+10
au1806,13:30:00.500,275,253546,276.8,274.95,30,275.05,102,316474,6.98594e+10
au1806,13:30:01.0,274.95,253548,276.8,274.95,43,275,36,316476,6.986e+10
au1806,13:30:01.500,275,253582,276.8,274.95,32,275,78,316494,6.98693e+10
au1806,13:30:02.0,274.95,253592,276.8,274.95,24,275,108,316496,6.98721e+10
au1806,13:30:02.500,274.95,253612,276.8,274.95,18,275,107,316488,6.98776e+10
au1806,13:30:03.0,274.95,253626,276.8,274.95,11,275,108,316494,6.98814e+10
au1806,13:30:03.500,274.95,253644,276.8,274.95,5,275,108,316490,6.98864e+10
au1806,13:30:04.0,274.95,253654,276.8,274.9,25,274.95,12,316482,6.98891e+10
au1806,13:30:04.500,274.95,253654,276.8,274.9,38,274.95,26,316482,6.98891e+10
au1806,13:30:05.0,274.95,253654,276.8,274.9,38,274.95,77,316482,6.98891e+10
au1806,13:30:05.500,274.95,253654,276.8,274.9,38,274.95,82,316482,6.98891e+10
au1806,13:30:06.0,274.95,253654,276.8,274.9,38,274.95,84,316482,6.98891e+10
au1806,13:30:06.500,274.95,253654,276.8,274.9,38,274.95,84,316482,6.98891e+10
au1806,13:30:07.0,274.95,253654,276.8,274.9,39,274.95,100,316482,6.98891e+10
au1806,13:30:07.500,274.95,253716,276.8,274.9,7,274.95,95,316474,6.99062e+10
au1806,13:30:08.0,274.9,253732,276.8,274.85,44,274.9,7,316472,6.99106e+10
au1806,13:30:08.500,274.85,253772,276.8,274.9,12,274.95,97,316480,6.99216e+10
au1806,13:30:09.0,274.9,253794,276.8,274.9,25,274.95,97,316476,6.99276e+10
au1806,13:30:09.500,274.9,253794,276.8,274.9,25,274.95,98,316476,6.99276e+10
au1806,13:30:10.0,274.9,253794,276.8,274.9,26,274.95,98,316476,6.99276e+10
au1806,13:30:11.0,274.9,253796,276.8,274.9,27,274.95,99,316476,6.99282e+10
au1806,13:30:11.500,274.9,253798,276.8,274.9,26,274.95,98,316476,6.99287e+10
au1806,13:30:12.0,274.9,253798,276.8,274.9,43,274.95,98,316476,6.99287e+10
au1806,13:30:12.500,274.9,253798,276.8,274.9,44,274.95,98,316476,6.99287e+10
au1806,13:30:13.500,274.9,253818,276.8,274.9,35,274.95,97,316476,6.99342e+10
au1806,13:30:14.0,274.9,253818,276.8,274.9,34,274.95,98,316476,6.99342e+10
au1806,13:30:14.500,274.9,253842,276.8,274.9,22,274.95,98,316452,6.99408e+10
au1806,13:30:15.0,274.9,253844,276.8,274.9,31,274.95,98,316452,6.99414e+10
au1806,13:30:15.500,274.9,253856,276.8,274.9,25,274.95,98,316454,6.99447e+10
au1806,13:30:16.0,274.9,253856,276.8,274.9,31,274.95,98,316454,6.99447e+10
au1806,13:30:16.500,274.9,253874,276.8,274.9,22,274.95,89,316436,6.99496e+10
au1806,13:30:17.0,274.9,253874,276.8,274.9,23,274.95,89,316436,6.99496e+10
au1806,13:30:17.500,274.95,253940,276.8,274.9,2,274.95,84,316396,6.99677e+10
au1806,13:30:18.0,274.95,253940,276.8,274.9,2,274.95,87,316396,6.99677e+10
au1806,13:30:18.500,274.9,253948,276.8,274.85,57,274.9,2,316400,6.99699e+10
au1806,13:30:19.0,274.9,253952,276.8,274.9,2,274.95,88,316404,6.9971e+10
au1806,13:30:19.500,274.95,253956,276.8,274.9,5,274.95,85,316408,6.99721e+10
au1806,13:30:20.0,274.9,253958,276.8,274.9,4,274.95,85,316408,6.99727e+10
au1806,13:30:20.500,274.95,253960,276.8,274.9,4,274.95,78,316408,6.99732e+10
au1806,13:30:21.0,274.9,253970,276.8,274.85,81,274.9,96,316408,6.9976e+10
au1806,13:30:21.500,274.9,254004,276.8,274.85,70,274.9,88,316434,6.99853e+10
au1806,13:30:22.0,274.9,254012,276.8,274.85,63,274.9,84,316442,6.99875e+10
au1806,13:30:22.500,274.9,254012,276.8,274.85,63,274.9,84,316442,6.99875e+10
au1806,13:30:23.0,274.9,254012,276.8,274.85,63,274.9,85,316442,6.99875e+10
au1806,13:30:23.500,274.9,254012,276.8,274.85,63,274.9,85,316442,6.99875e+10
au1806,13:30:24.500,274.9,254012,276.8,274.85,63,274.9,86,316442,6.99875e+10
au1806,13:30:25.0,274.9,254012,276.8,274.85,64,274.9,86,316442,6.99875e+10
au1806,13:30:25.500,274.9,254012,276.8,274.85,64,274.9,88,316442,6.99875e+10
au1806,13:30:26.0,274.9,254014,276.8,274.85,64,274.9,88,316444,6.99881e+10
au1806,13:30:26.500,274.9,254014,276.8,274.85,64,274.9,88,316444,6.99881e+10
au1806,13:30:27.500,274.9,254024,276.8,274.85,64,274.9,83,316454,6.99908e+10
au1806,13:30:28.0,274.9,254024,276.8,274.85,76,274.9,83,316454,6.99908e+10
au1806,13:30:30.0,274.9,254024,276.8,274.85,76,274.9,83,316454,6.99908e+10
au1806,13:30:30.500,274.9,254036,276.8,274.85,78,274.9,77,316458,6.99941e+10
au1806,13:30:31.0,274.9,254036,276.8,274.85,78,274.9,77,316458,6.99941e+10
au1806,13:30:31.500,274.9,254036,276.8,274.85,78,274.9,77,316458,6.99941e+10
au1806,13:30:32.0,274.9,254036,276.8,274.85,78,274.9,77,316458,6.99941e+10
au1806,13:30:33.0,274.9,254036,276.8,274.85,78,274.9,77,316458,6.99941e+10
au1806,13:30:33.500,274.85,254038,276.8,274.85,77,274.9,87,316458,6.99947e+10
au1806,13:30:36.0,274.85,254038,276.8,274.85,77,274.9,87,316458,6.99947e+10
au1806,13:30:37.500,274.9,254042,276.8,274.85,80,274.9,85,316460,6.99958e+10
au1806,13:30:38.500,274.85,254062,276.8,274.85,76,274.9,85,316454,7.00013e+10
au1806,13:30:39.0,274.85,254062,276.8,274.85,76,274.9,86,316454,7.00013e+10
au1806,13:30:41.500,274.9,254066,276.8,274.85,76,274.9,84,316458,7.00024e+10
au1806,13:30:42.0,274.9,254066,276.8,274.85,76,274.9,85,316458,7.00024e+10
